serie,serie_id,fecha,indice,media_antes,media_despues,delta,pen_seleccionada,n_cambios,n_puntos,tamano_serie
tone,tone,2015-10-01,9,1.840191,2.241323,0.401132,0.31011689265747816,3,82,30027
tone,tone,2016-09-01,15,2.241323,1.935025,-0.306298,0.31011689265747816,3,82,30027
tone,tone,2020-06-01,52,1.935025,1.739045,-0.19598,0.31011689265747816,3,82,30027
topic,0,2016-03-01,11,0.041864,0.294286,0.252422,0.10811807510766078,4,82,2091
topic,0,2016-11-01,17,0.294286,0.108934,-0.185353,0.10811807510766078,4,82,2091
topic,0,2019-02-01,42,0.108934,0.318769,0.209836,0.10811807510766078,4,82,2091
topic,0,2020-02-01,48,0.318769,0.079036,-0.239733,0.10811807510766078,4,82,2091
topic,1,2016-11-01,17,0.026557,0.135976,0.109419,0.026529484644319,3,82,1495
topic,1,2017-05-01,23,0.135976,0.048082,-0.087894,0.026529484644319,3,82,1495
topic,1,2021-07-01,64,0.048082,0.155677,0.107594,0.026529484644319,3,82,1495
topic,10,2018-09-01,37,0.011491,0.051095,0.039604,0.003224590545296398,4,82,496
topic,10,2019-05-01,43,0.051095,0.011933,-0.039162,0.003224590545296398,4,82,496
topic,10,2021-01-01,58,0.011933,0.063797,0.051864,0.003224590545296398,4,82,496
topic,10,2021-11-01,67,0.063797,0.016023,-0.047774,0.003224590545296398,4,82,496
topic,11,2017-03-01,21,0.033625,0.109937,0.076312,0.026529484644319,2,82,486
topic,11,2017-09-01,27,0.109937,0.012224,-0.097713,0.026529484644319,2,82,486
topic,12,2016-11-01,17,0.004838,0.016567,0.011729,0.0015973122800602556,2,82,466
topic,12,2022-08-01,75,0.016567,0.045733,0.029167,0.0015973122800602556,2,82,466
topic,13,2016-01-01,10,0.031691,0.012115,-0.019576,0.0022695105366946707,3,82,457
topic,13,2020-05-01,51,0.012115,0.034397,0.022282,0.0022695105366946707,3,82,457
topic,13,2021-06-01,63,0.034397,0.009489,-0.024908,0.0022695105366946707,3,82,457
topic,14,2020-01-01,47,0.012481,0.051805,0.039324,0.003224590545296398,3,82,454
topic,14,2020-07-01,53,0.051805,0.011811,-0.039994,0.003224590545296398,3,82,454
topic,14,2022-09-01,76,0.011811,0.039495,0.027684,0.003224590545296398,3,82,454
topic,15,2017-10-01,28,0.019566,0.08733,0.067764,0.01314147362611758,2,82,444
topic,15,2018-06-01,35,0.08733,0.011468,-0.075862,0.01314147362611758,2,82,444
topic,16,2016-03-01,11,0.021674,0.079355,0.057682,0.003224590545296398,4,82,396
topic,16,2016-11-01,17,0.079355,0.01835,-0.061006,0.003224590545296398,4,82,396
topic,16,2019-05-01,43,0.01835,0.052087,0.033737,0.003224590545296398,4,82,396
topic,16,2020-03-01,49,0.052087,0.013318,-0.038769,0.003224590545296398,4,82,396
topic,17,2021-07-01,64,0.016683,0.029076,0.012393,0.0015973122800602556,1,82,387
topic,18,2020-03-01,49,0.000794,0.089824,0.089029,0.026529484644319,2,82,329
topic,18,2021-03-01,60,0.089824,0.012208,-0.077616,0.026529484644319,2,82,329
topic,19,2015-07-01,6,0.038476,0.00795,-0.030526,0.003224590545296398,2,82,329
topic,19,2022-06-01,73,0.00795,0.031804,0.023854,0.003224590545296398,2,82,329
topic,2,2022-04-01,72,0.054541,0.151951,0.09741,0.07609496685459884,1,82,1189
topic,20,2015-08-01,7,0.013529,0.004209,-0.009319,0.0003919406774847221,6,82,306
topic,20,2017-02-01,20,0.004209,0.027932,0.023723,0.0003919406774847221,6,82,306
topic,20,2017-12-01,30,0.027932,0.016831,-0.011101,0.0003919406774847221,6,82,306
topic,20,2019-01-01,41,0.016831,0.006377,-0.010454,0.0003919406774847221,6,82,306
topic,20,2020-04-01,50,0.006377,0.021384,0.015008,0.0003919406774847221,6,82,306
topic,20,2020-11-01,56,0.021384,0.006471,-0.014913,0.0003919406774847221,6,82,306
topic,21,2021-07-01,64,0.014327,0.10588,0.091553,0.018671810912919206,2,82,297
topic,21,2022-02-01,70,0.10588,0.015825,-0.090054,0.018671810912919206,2,82,297
topic,24,2017-02-01,20,0.009261,0.031401,0.02214,0.003224590545296398,2,82,259
topic,24,2018-04-01,33,0.031401,0.005303,-0.026098,0.003224590545296398,2,82,259
topic,25,2021-03-01,60,0.006284,0.03327,0.026986,0.0022695105366946707,2,82,257
topic,25,2021-12-01,68,0.03327,0.006611,-0.026659,0.0022695105366946707,2,82,257
topic,26,2017-01-01,19,0.008439,0.090681,0.082242,0.00650967523045817,3,82,256
topic,26,2017-08-01,26,0.090681,0.027582,-0.063099,0.00650967523045817,3,82,256
topic,26,2019-05-01,43,0.027582,0.001586,-0.025997,0.00650967523045817,3,82,256
topic,27,2015-08-01,7,0.046795,0.005897,-0.040898,0.003224590545296398,3,82,231
topic,27,2016-09-01,15,0.005897,0.043994,0.038096,0.003224590545296398,3,82,231
topic,27,2017-07-01,25,0.043994,0.002846,-0.041147,0.003224590545296398,3,82,231
topic,28,2016-03-01,11,0.017882,0.046925,0.029043,0.003224590545296398,2,82,223
topic,28,2016-11-01,17,0.046925,0.008253,-0.038672,0.003224590545296398,2,82,223
topic,29,2016-04-01,12,0.0179,0.006606,-0.011294,0.0011242100350620874,1,82,212
topic,3,2017-09-01,27,0.032019,0.069815,0.037797,0.00650967523045817,2,82,1067
topic,3,2019-05-01,43,0.069815,0.032377,-0.037438,0.00650967523045817,2,82,1067
topic,30,2021-10-01,66,0.006026,0.030233,0.024207,0.0022695105366946707,2,82,204
topic,30,2022-08-01,75,0.030233,0.001611,-0.028622,0.0022695105366946707,2,82,204
topic,31,2017-09-01,27,0.001472,0.019938,0.018466,0.0007912342618981327,4,82,200
topic,31,2018-05-01,34,0.019938,0.000841,-0.019097,0.0007912342618981327,4,82,200
topic,31,2021-02-01,59,0.000841,0.012166,0.011325,0.0007912342618981327,4,82,200
topic,31,2022-09-01,76,0.012166,0.037236,0.025071,0.0007912342618981327,4,82,200
topic,32,2017-11-01,29,0.002405,0.030102,0.027697,0.0015973122800602556,4,82,177
topic,32,2018-06-01,35,0.030102,0.004251,-0.025851,0.0015973122800602556,4,82,177
topic,32,2022-02-01,70,0.004251,0.045328,0.041077,0.0015973122800602556,4,82,177
topic,32,2022-09-01,76,0.045328,0.00484,-0.040488,0.0015973122800602556,4,82,177
topic,33,2021-06-01,63,0.007932,0.059258,0.051326,0.00650967523045817,2,82,168
topic,33,2022-01-01,69,0.059258,0.002365,-0.056893,0.00650967523045817,2,82,168
topic,34,2017-01-01,19,0.001826,0.025315,0.023488,0.0007912342618981327,4,82,166
topic,34,2017-07-01,25,0.025315,0.0,-0.025315,0.0007912342618981327,4,82,166
topic,34,2018-05-01,34,0.0,0.016396,0.016396,0.0007912342618981327,4,82,166
topic,34,2020-03-01,49,0.016396,0.00237,-0.014027,0.0007912342618981327,4,82,166
topic,36,2015-10-01,9,0.003476,0.334594,0.331118,0.21826447283974873,4,82,162
topic,36,2016-09-01,15,0.334594,0.005312,-0.329282,0.21826447283974873,4,82,162
topic,36,2019-01-01,41,0.005312,0.337794,0.332482,0.21826447283974873,4,82,162
topic,36,2020-01-01,47,0.337794,0.00433,-0.333464,0.21826447283974873,4,82,162
topic,37,2017-04-01,22,0.000471,0.006657,0.006187,0.0005568813990945272,2,82,161
topic,37,2022-02-01,70,0.006657,0.016638,0.009981,0.0005568813990945272,2,82,161
topic,38,2015-08-01,7,0.018881,0.002226,-0.016655,0.0015973122800602556,2,82,155
topic,38,2022-09-01,76,0.002226,0.029727,0.027501,0.0015973122800602556,2,82,155
topic,39,2018-03-01,32,0.005627,0.066079,0.060452,0.009249147277217335,2,82,152
topic,39,2018-10-01,38,0.066079,0.004015,-0.062063,0.009249147277217335,2,82,152
topic,4,2020-03-01,49,0.001173,0.321522,0.320349,0.026529484644319,3,82,838
topic,4,2020-10-01,55,0.321522,0.096387,-0.225134,0.026529484644319,3,82,838
topic,4,2021-09-01,65,0.096387,0.015334,-0.081054,0.026529484644319,3,82,838
topic,40,2016-01-01,10,0.023414,0.003511,-0.019903,0.003224590545296398,1,82,150
