serie,serie_id,factor,penalizacion,n_cambios
tone,tone,0.25,0.07752922316436954,7
tone,tone,0.5,0.15505844632873908,3
tone,tone,1.0,0.31011689265747816,3
tone,tone,2.0,0.6202337853149563,1
tone,tone,4.0,1.2404675706299126,0
topic,0,0.25,0.027029518776915194,6
topic,0,0.5,0.05405903755383039,5
topic,0,1.0,0.10811807510766078,4
topic,0,2.0,0.21623615021532155,0
topic,0,4.0,0.4324723004306431,0
topic,1,0.25,0.00663237116107975,9
topic,1,0.5,0.0132647423221595,4
topic,1,1.0,0.026529484644319,3
topic,1,2.0,0.053058969288638,1
topic,1,4.0,0.106117938577276,1
topic,10,0.25,0.0008061476363240995,6
topic,10,0.5,0.001612295272648199,5
topic,10,1.0,0.003224590545296398,4
topic,10,2.0,0.006449181090592796,2
topic,10,4.0,0.012898362181185593,0
topic,11,0.25,0.00663237116107975,2
topic,11,0.5,0.0132647423221595,2
topic,11,1.0,0.026529484644319,2
topic,11,2.0,0.053058969288638,0
topic,11,4.0,0.106117938577276,0
topic,12,0.25,0.0003993280700150639,5
topic,12,0.5,0.0007986561400301278,5
topic,12,1.0,0.0015973122800602556,2
topic,12,2.0,0.0031946245601205112,1
topic,12,4.0,0.0063892491202410225,1
topic,13,0.25,0.0005673776341736677,6
topic,13,0.5,0.0011347552683473353,4
topic,13,1.0,0.0022695105366946707,3
topic,13,2.0,0.004539021073389341,0
topic,13,4.0,0.009078042146778683,0
topic,14,0.25,0.0008061476363240995,6
topic,14,0.5,0.001612295272648199,6
topic,14,1.0,0.003224590545296398,3
topic,14,2.0,0.006449181090592796,0
topic,14,4.0,0.012898362181185593,0
topic,15,0.25,0.003285368406529395,2
topic,15,0.5,0.00657073681305879,2
topic,15,1.0,0.01314147362611758,2
topic,15,2.0,0.02628294725223516,0
topic,15,4.0,0.05256589450447032,0
topic,16,0.25,0.0008061476363240995,7
topic,16,0.5,0.001612295272648199,4
topic,16,1.0,0.003224590545296398,4
topic,16,2.0,0.006449181090592796,2
topic,16,4.0,0.012898362181185593,0
topic,17,0.25,0.0003993280700150639,5
topic,17,0.5,0.0007986561400301278,3
topic,17,1.0,0.0015973122800602556,1
topic,17,2.0,0.0031946245601205112,0
topic,17,4.0,0.0063892491202410225,0
topic,18,0.25,0.00663237116107975,2
topic,18,0.5,0.0132647423221595,2
topic,18,1.0,0.026529484644319,2
topic,18,2.0,0.053058969288638,0
topic,18,4.0,0.106117938577276,0
topic,19,0.25,0.0008061476363240995,4
topic,19,0.5,0.001612295272648199,2
topic,19,1.0,0.003224590545296398,2
topic,19,2.0,0.006449181090592796,0
topic,19,4.0,0.012898362181185593,0
topic,2,0.25,0.01902374171364971,4
topic,2,0.5,0.03804748342729942,3
topic,2,1.0,0.07609496685459884,1
topic,2,2.0,0.15218993370919767,0
topic,2,4.0,0.30437986741839534,0
topic,20,0.25,9.798516937118052e-05,6
topic,20,0.5,0.00019597033874236105,6
topic,20,1.0,0.0003919406774847221,6
topic,20,2.0,0.0007838813549694442,2
topic,20,4.0,0.0015677627099388884,2
topic,21,0.25,0.0046679527282298015,2
topic,21,0.5,0.009335905456459603,2
topic,21,1.0,0.018671810912919206,2
topic,21,2.0,0.03734362182583841,0
topic,21,4.0,0.07468724365167682,0
topic,22,0.25,250.0,0
topic,22,0.5,500.0,0
topic,22,1.0,1000.0,0
topic,22,2.0,2000.0,0
topic,22,4.0,4000.0,0
topic,23,0.25,250.0,0
topic,23,0.5,500.0,0
topic,23,1.0,1000.0,0
topic,23,2.0,2000.0,0
topic,23,4.0,4000.0,0
topic,24,0.25,0.0008061476363240995,3
topic,24,0.5,0.001612295272648199,2
topic,24,1.0,0.003224590545296398,2
topic,24,2.0,0.006449181090592796,0
topic,24,4.0,0.012898362181185593,0
topic,25,0.25,0.0005673776341736677,4
topic,25,0.5,0.0011347552683473353,2
topic,25,1.0,0.0022695105366946707,2
topic,25,2.0,0.004539021073389341,0
topic,25,4.0,0.009078042146778683,0
topic,26,0.25,0.0016274188076145426,4
topic,26,0.5,0.003254837615229085,4
topic,26,1.0,0.00650967523045817,3
topic,26,2.0,0.01301935046091634,2
topic,26,4.0,0.02603870092183268,0
topic,27,0.25,0.0008061476363240995,3
topic,27,0.5,0.001612295272648199,3
topic,27,1.0,0.003224590545296398,3
topic,27,2.0,0.006449181090592796,1
topic,27,4.0,0.012898362181185593,1
topic,28,0.25,0.0008061476363240995,2
topic,28,0.5,0.001612295272648199,2
topic,28,1.0,0.003224590545296398,2
topic,28,2.0,0.006449181090592796,0
topic,28,4.0,0.012898362181185593,0
topic,29,0.25,0.00028105250876552185,7
topic,29,0.5,0.0005621050175310437,3
topic,29,1.0,0.0011242100350620874,1
topic,29,2.0,0.002248420070124175,0
topic,29,4.0,0.00449684014024835,0
topic,3,0.25,0.0016274188076145426,8
topic,3,0.5,0.003254837615229085,4
topic,3,1.0,0.00650967523045817,2
topic,3,2.0,0.01301935046091634,0
topic,3,4.0,0.02603870092183268,0
topic,30,0.25,0.0005673776341736677,2
topic,30,0.5,0.0011347552683473353,2
topic,30,1.0,0.0022695105366946707,2
topic,30,2.0,0.004539021073389341,0
topic,30,4.0,0.009078042146778683,0
topic,31,0.25,0.00019780856547453317,6
topic,31,0.5,0.00039561713094906633,4
topic,31,1.0,0.0007912342618981327,4
topic,31,2.0,0.0015824685237962653,1
topic,31,4.0,0.0031649370475925307,1
topic,32,0.25,0.0003993280700150639,4
topic,32,0.5,0.0007986561400301278,4
topic,32,1.0,0.0015973122800602556,4
topic,32,2.0,0.0031946245601205112,2
topic,32,4.0,0.0063892491202410225,0
topic,33,0.25,0.0016274188076145426,2
topic,33,0.5,0.003254837615229085,2
topic,33,1.0,0.00650967523045817,2
topic,33,2.0,0.01301935046091634,0
topic,33,4.0,0.02603870092183268,0
topic,34,0.25,0.00019780856547453317,7
topic,34,0.5,0.00039561713094906633,4
topic,34,1.0,0.0007912342618981327,4
topic,34,2.0,0.0015824685237962653,0
topic,34,4.0,0.0031649370475925307,0
topic,35,0.25,250.0,0
topic,35,0.5,500.0,0
topic,35,1.0,1000.0,0
topic,35,2.0,2000.0,0
topic,35,4.0,4000.0,0
topic,36,0.25,0.05456611820993718,4
topic,36,0.5,0.10913223641987436,4
topic,36,1.0,0.21826447283974873,4
topic,36,2.0,0.43652894567949746,0
topic,36,4.0,0.8730578913589949,0
topic,37,0.25,0.0001392203497736318,7
topic,37,0.5,0.0002784406995472636,5
topic,37,1.0,0.0005568813990945272,2
topic,37,2.0,0.0011137627981890545,1
topic,37,4.0,0.002227525596378109,0
topic,38,0.25,0.0003993280700150639,3
topic,38,0.5,0.0007986561400301278,2
topic,38,1.0,0.0015973122800602556,2
