evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
Elecciones generales 20-D,tone,tone,0.169821,0.127188,0.611809,82,2.18141,1.859632
Elecciones generales 26-J,tone,tone,0.076438,0.494894,0.76088,82,1.984645,1.86823
Moción de censura,tone,tone,0.047483,0.671847,0.871186,82,1.867404,1.875954
Elecciones generales 28-A,tone,tone,0.098065,0.380757,0.688027,82,2.052637,1.866236
Elecciones generales 10-N,tone,tone,0.019135,0.864517,0.961053,82,1.889429,1.874605
Investidura de 2020,tone,tone,0.184096,0.097792,0.611809,82,2.001218,1.867154
COVID-19: estado de alarma,tone,tone,0.1429,0.200289,0.611809,82,1.949394,1.868416
Guerra de Ucrania,tone,tone,-0.043526,0.69781,0.886295,82,1.809225,1.880547
Elecciones generales 20-D,topic,0,0.011967,0.915022,0.974464,82,0.159719,0.114238
Elecciones generales 26-J,topic,0,0.138971,0.213069,0.611809,82,0.307091,0.104077
Moción de censura,topic,0,0.150462,0.177251,0.611809,82,0.12317,0.115926
Elecciones generales 28-A,topic,0,0.002393,0.982974,0.993818,82,0.264156,0.108882
Elecciones generales 10-N,topic,0,0.126851,0.256105,0.615336,82,0.247801,0.109721
Investidura de 2020,topic,0,-0.061406,0.583668,0.809886,82,0.16271,0.113453
COVID-19: estado de alarma,topic,0,-0.048895,0.662674,0.864385,82,0.137466,0.114495
Guerra de Ucrania,topic,0,-0.205895,0.063486,0.611809,82,0.033194,0.12303
Elecciones generales 20-D,topic,1,-0.218814,0.048265,0.611809,82,0.011246,0.07687
Elecciones generales 26-J,topic,1,-0.26733,0.015183,0.611809,82,0.013043,0.077606
Moción de censura,topic,1,-0.191936,0.084083,0.611809,82,0.020543,0.077863
Elecciones generales 28-A,topic,1,-0.033664,0.763992,0.90604,82,0.060993,0.074319
Elecciones generales 10-N,topic,1,-0.075743,0.498832,0.76197,82,0.039154,0.075439
Investidura de 2020,topic,1,-0.193733,0.081166,0.611809,82,0.01944,0.077191
COVID-19: estado de alarma,topic,1,-0.160342,0.150151,0.611809,82,0.030635,0.077686
Guerra de Ucrania,topic,1,0.172046,0.122207,0.611809,82,0.155166,0.067235
Elecciones generales 20-D,topic,10,-0.178741,0.108123,0.611809,82,0.001033,0.022066
Elecciones generales 26-J,topic,10,-0.210415,0.05777,0.611809,82,0.00087,0.02235
Moción de censura,topic,10,0.044458,0.691661,0.886138,82,0.026043,0.020645
Elecciones generales 28-A,topic,10,0.049997,0.655543,0.864077,82,0.053832,0.019358
Elecciones generales 10-N,topic,10,-0.094995,0.395918,0.689018,82,0.004778,0.021874
Investidura de 2020,topic,10,-0.123774,0.267915,0.615336,82,0.004518,0.022113
COVID-19: estado de alarma,topic,10,-0.15899,0.153665,0.611809,82,0.003503,0.022676
