min_topic_size,n_neighbors,min_samples,n_topics,outlier_rate,coherence,diversity,selected
15,10,5,314,0.3383,0.702629,0.706688,False
15,10,10,273,0.3472,0.719671,0.727106,False
15,15,5,265,0.3437,0.722309,0.720755,False
15,15,10,243,0.3589,0.723137,0.755556,False
15,30,5,229,0.379,0.718127,0.732751,False
15,30,10,211,0.4101,0.729851,0.762559,False
30,10,5,173,0.3212,0.737367,0.776301,False
30,10,10,162,0.3338,0.736898,0.788272,False
30,15,5,154,0.3326,0.747971,0.796753,False
30,15,10,139,0.3303,0.744427,0.820863,False
30,30,5,144,0.3818,0.742894,0.8125,False
30,30,10,124,0.3382,0.75259,0.843548,False
50,10,5,119,0.3132,0.747157,0.838655,False
50,10,10,112,0.3139,0.749848,0.864286,False
50,15,5,109,0.3129,0.763229,0.866972,False
50,15,10,103,0.3022,0.75499,0.883495,False
50,30,5,95,0.38,0.747043,0.893684,False
50,30,10,90,0.3543,0.753496,0.915556,False
100,10,5,68,0.2694,0.740707,0.910294,False
100,10,10,69,0.2856,0.735468,0.908696,False
100,15,5,71,0.3361,0.733507,0.919718,False
100,15,10,69,0.3231,0.738011,0.917391,False
100,30,5,62,0.3463,0.733031,0.929032,False
100,30,10,58,0.3204,0.754575,0.941379,True
150,10,5,47,0.2488,0.713876,0.944681,False
150,10,10,47,0.2562,0.72462,0.946809,False
150,15,5,42,0.3202,0.737445,0.954762,False
150,15,10,40,0.2229,0.707699,0.975,False
150,30,5,35,0.2867,0.709556,0.965714,False
150,30,10,35,0.2813,0.720316,0.962857,False
200,10,5,33,0.2697,0.693322,0.972727,False
200,10,10,32,0.2478,0.670432,0.971875,False
200,15,5,28,0.2805,0.677179,0.985714,False
200,15,10,29,0.228,0.664014,0.986207,False
200,30,5,25,0.2798,0.668678,0.988,False
200,30,10,28,0.3041,0.70809,0.967857,False
